Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
User 8,Esn 25,Device Type 1,2022-11-18T15:39:04.015Z,2022-11-18T15:39:04.015Z,2022-11-18T15:39:04.015Z,2022-11-18T15:39:04.015Z,2022-11-18T15:39:04.015Z,2022-11-18T15:39:04.015Z,2022-11-18T15:39:04.015Z,2022-11-18T15:39:04.015Z,1970-01-01T00:00:00.000Z
User 8,Esn 21,Device Type 0,2022-10-24T05:40:13.835Z,2022-11-03T20:10:56.700Z,2022-10-24T05:40:13.835Z,2022-11-03T20:10:56.700Z,2022-10-24T05:40:13.835Z,2022-11-03T20:10:56.700Z,2022-10-24T05:40:13.835Z,2022-11-03T20:10:56.700Z,2022-11-18T15:32:23.920Z
User 8,Esn 43,Device Type 1,2022-11-13T13:50:35.263Z,2022-11-13T13:50:35.263Z,2022-11-13T13:50:35.263Z,2022-11-13T13:50:35.263Z,2022-11-13T13:50:35.263Z,2022-11-13T13:50:35.263Z,2022-11-13T13:50:35.263Z,2022-11-13T13:50:35.263Z,1970-01-01T00:00:00.000Z
User 8,Esn 10,Device Type 1,2022-06-13T19:28:21.128Z,2022-10-24T17:52:33.360Z,2022-06-13T19:28:21.128Z,2022-10-24T17:52:33.360Z,2022-06-13T19:28:21.128Z,2022-10-24T17:52:33.360Z,2022-06-13T19:28:21.128Z,2022-10-24T17:52:33.360Z,1970-01-01T00:00:00.000Z
User 8,Esn 26,Device Type 0,2022-06-05T17:56:46.960Z,2022-10-23T20:16:59.931Z,2022-06-05T17:56:46.960Z,2022-10-23T20:16:59.931Z,2022-06-05T17:56:46.960Z,2022-10-23T20:16:59.931Z,2022-06-05T17:56:46.960Z,2022-10-23T20:16:59.931Z,1970-01-01T00:00:00.000Z
User 8,Esn 23,Device Type 1,2022-10-04T17:09:35.080Z,2022-10-06T16:14:12.616Z,2022-10-04T17:09:35.080Z,2022-10-06T16:14:12.616Z,2022-10-04T17:09:35.080Z,2022-10-06T16:14:12.616Z,2022-10-04T17:09:35.080Z,2022-10-06T16:14:12.616Z,1970-01-01T00:00:00.000Z
User 8,Esn 20,Device Type 0,2022-08-13T14:32:59.441Z,2022-10-05T08:39:53.215Z,2022-08-13T14:32:59.441Z,2022-10-05T08:39:53.215Z,2022-08-13T14:32:59.441Z,2022-10-05T08:39:53.215Z,2022-08-13T14:32:59.441Z,2022-10-05T08:39:53.215Z,1970-01-01T00:00:00.000Z
User 8,Esn 39,Device Type 1,2022-06-01T13:32:46.631Z,2022-08-20T19:22:29.584Z,2022-06-01T13:32:46.631Z,2022-08-20T19:22:29.584Z,2022-06-01T13:32:46.631Z,2022-08-20T19:22:29.584Z,2022-06-01T13:32:46.631Z,2022-08-20T19:22:29.584Z,1970-01-01T00:00:00.000Z
User 5,Esn 0,Device Type 5,2023-01-07T15:13:19.472Z,2023-06-20T15:09:20.203Z,2023-01-07T15:13:36.798Z,2023-06-20T15:09:20.203Z,2023-01-07T15:13:19.472Z,2023-06-20T15:09:20.203Z,2023-01-07T15:13:36.798Z,2023-06-20T15:09:20.203Z,
User 7,Esn 33,Device Type 1,2023-06-17T15:50:40.571Z,2023-06-20T10:14:31.088Z,2023-06-17T15:50:40.571Z,2023-06-20T10:14:31.088Z,2023-06-17T15:50:40.571Z,2023-06-20T10:14:31.088Z,2023-06-17T15:50:40.571Z,2023-06-20T10:14:31.088Z,
User 6,Esn 30,Device Type 9,2023-06-20T07:03:42.726Z,2023-06-20T07:03:42.726Z,2023-06-20T07:03:42.726Z,2023-06-20T07:03:42.726Z,2023-06-20T07:03:42.726Z,2023-06-20T07:03:42.726Z,2023-06-20T07:03:42.726Z,2023-06-20T07:03:42.726Z,
User 5,Esn 35,Device Type 4,2023-01-13T17:07:42.020Z,2023-06-19T16:07:09.320Z,2023-01-13T17:07:42.020Z,2023-06-19T16:07:09.320Z,2023-01-13T17:07:42.020Z,2023-06-19T16:07:09.320Z,2023-01-13T17:07:42.020Z,2023-06-19T16:07:09.320Z,
User 7,Esn 36,Device Type 0,2022-11-30T12:09:38.972Z,2023-06-19T08:04:43.660Z,2022-11-30T12:09:38.972Z,2023-06-19T08:04:43.660Z,2022-11-30T12:09:38.972Z,2023-06-19T08:04:43.660Z,2022-11-30T12:09:38.972Z,2023-06-19T08:04:43.660Z,
